,raw_close,split_factor,adjustment,adj_close,log_return,vol_20d,momentum_20d,target_fwd5d,target_class
2023-01-30,49623.684502697244,1.0,0.5,24811.842251348622,-0.0026384911153751744,0.2167650231182764,-0.0126264359303363,-0.00483105058490732,0
2023-01-31,49107.777083856985,1.0,0.5,24553.888541928492,-0.010450814889976456,0.2122944081127467,-0.00697185808675016,0.01427566346520509,1
2023-02-01,50076.07999316779,1.0,0.5,25038.039996583895,0.019526033827148126,0.2195876296118935,0.00046286283249230564,0.0007776501484462789,1
2023-02-02,49967.992762488015,1.0,0.5,24983.996381244007,-0.002160793133620942,0.21231048803522742,-0.01678324973485701,0.00971118841053478,1
2023-02-03,49645.608826352625,1.0,0.5,24822.804413176313,-0.006472711688809696,0.1829855903049117,0.007197137236932605,0.023241510616461812,1
2023-02-06,49384.528126071855,1.0,0.5,24692.264063035927,-0.005272764699647325,0.1677222455263669,0.022158954705076894,0.06251487222786324,1
2023-02-07,49813.85102891223,1.0,0.5,24906.925514456114,0.00865589916013576,0.16982655041242178,0.028528739296044492,0.04773135563259266,1
2023-02-08,50115.03680963191,1.0,0.5,25057.518404815954,0.006028020510388643,0.16895689999175578,0.039264295044375785,0.033909087868090666,1
2023-02-09,50455.60517057732,1.0,0.5,25227.80258528866,0.00677274512846715,0.16962368636478103,0.04602881607261011,0.014593444350711998,1
2023-02-10,50812.96073515395,1.0,0.5,25406.480367576976,0.007057610517117396,0.16009347711670205,0.06624778823520572,0.017509415370507635,1
2023-02-13,52570.33837871408,1.0,0.5,26285.16918935704,0.0340005969117545,0.190548899312012,0.08612635134770841,0.0015612783215821604,1
2023-02-14,52249.19239142622,1.0,0.5,26124.59619571311,-0.006127617435135235,0.19138168460089264,0.06747684482787086,0.006167209434398342,1
2023-02-15,51843.53222856727,1.0,0.5,25921.766114283633,-0.007794247254112818,0.1953711006471374,0.05836989437151807,0.0010030533129774168,1
2023-02-16,51197.32519824538,1.0,0.5,25598.66259912269,-0.012542898388911539,0.1941494485582608,0.027801798157874202,0.0008344104874249897,1
