portfolio,PC,exposure_currency_per_bp,variance_share_pct
Long_bonds,PC1,-21084.870893385756,91.47105766483683
Long_bonds,PC2,-15086.637509067292,8.528185377407981
Long_bonds,PC3,209.84394510764196,0.00039862594601050913
Long_bonds,PC4,-1120.8115388954725,0.0002584395039272558
Long_bonds,PC5,-689.9535914329751,9.18043684344224e-05
Long_bonds,PC6,-212.83593189940711,8.087936856005374e-06
Butterfly,PC1,-1840.3631443230042,5.146755903805899
Butterfly,PC2,11114.929271056573,34.187696186281734
Butterfly,PC3,-30044.971329699,60.353293382468024
Butterfly,PC4,-11152.244096685405,0.18897439039934608
Butterfly,PC5,-8999.983394648747,0.11536968644672337
Butterfly,PC6,2449.256846062647,0.007910450598357236
