company_id,period,available_at,label_end,Equity,Liabilities,Current_Liabilities,Current_Assets,Revenue,Operating_Profit,Interest_Expense,Debt_Ratio,Current_Ratio,Operating_Margin,Interest_Coverage,distress_next_year
SYN000,11,2023-05-01,2024-05-01,120.14653840015612,64.0187420747907,40.86389640734021,45.43588047009992,81.79137637871992,9.494231052269667,1.3294096643898377,53.28388393644099,111.18832139056242,11.607863166782248,7.141689508197803,0
SYN001,11,2023-05-01,2024-05-01,939.7849515257417,461.57502282970927,256.83055181973765,370.2736465205808,634.6723012918799,29.73306128448124,11.837312519592196,49.11496210705884,144.17040492147748,4.6847894927759395,2.511808422331454,0
SYN002,11,2023-05-01,2024-05-01,166.63451569137632,135.58070415857156,67.50612702188161,196.70882622439095,258.1683203661443,27.725753710869302,3.1362245603117396,81.36411810964813,291.39403325660976,10.73940972755587,8.840487400593972,0
SYN003,11,2023-05-01,2024-05-01,139.60951869290363,791.2020238738509,224.16258896943089,507.4666117837112,751.9691853006492,34.833373290998544,51.776219667729315,566.7249850020919,226.38327569142885,4.632287329310125,0.6727677979300065,0
SYN004,11,2023-05-01,2024-05-01,81.9855236506838,80.23676116351805,47.84908524108419,95.70817316545563,164.3721792590595,6.6640989692565595,5.3279193306322385,97.86698625648022,200.02090464893288,4.05427426909853,1.2507882638053687,0
SYN005,11,2023-05-01,2024-05-01,61.544585452525844,36.925652169204696,14.323125436230903,38.64499926062096,89.47684974914361,7.849929746845081,1.8483810076060019,59.99821413646265,269.80842577044626,8.773140503776188,4.246921881659131,0
SYN006,11,2023-05-01,2024-05-01,149.6805337297005,139.56583933750477,41.689025728047426,98.63419240187082,140.08059154175317,11.445192391759006,6.5741146064562725,93.24247840373066,236.59510069939577,8.170434080689608,1.740948108893473,0
SYN007,11,2023-05-01,2024-05-01,179.40656306368373,140.2137003580128,84.12258493339034,206.65148616880316,171.24207748639395,2.957296177716816,3.4779909592014495,78.15416446512121,245.65517849033435,1.7269681734337685,0.8502886328364161,0
SYN008,11,2023-05-01,2024-05-01,199.66918889106174,257.04387910569085,100.05460021493964,122.95737569466988,386.8249709319482,45.06504403033337,12.662721049455302,128.73487418528674,122.89027733910281,11.649983175016224,3.5588752097063594,0
SYN009,11,2023-05-01,2024-05-01,231.72742542497946,374.12008125926116,201.36291056251622,298.3709685457691,393.3577152928547,25.312362154827632,10.650527028840429,161.448339821296,148.1757329153897,6.434947420818373,2.3766300096027737,0
SYN010,11,2023-05-01,2024-05-01,89.56441916772422,231.02139600796232,131.23855480530625,144.73500389856085,149.40191202822177,-2.8376660716282434,15.35441678182215,257.93880890952516,,-1.8993505726300297,-0.18481106198626254,0
SYN011,11,2023-05-01,2024-05-01,58.43373292267931,34.86811916939188,14.4325526466317,21.601172545082783,54.24302191239443,2.8129244685660386,0.8822383333753826,59.67121630844648,149.66979905750844,5.185781266222726,3.1883952013329377,0
SYN012,11,2023-05-01,2024-05-01,217.08953083868536,174.49996984448805,99.06572210139373,141.25653528323238,261.3561399677861,-2.2126933714492405,4.08321514731696,80.38156845718888,142.58871008748756,-0.8466200073669476,-0.5418997754510143,0
SYN013,11,2023-05-01,2024-05-01,93.19344211743343,233.98370932417,123.55471764734395,163.79148813013458,114.64469035548856,7.213319642941667,9.11789127861793,251.07314850472653,132.56595235613457,6.291891600539643,0.7911170930341523,1
SYN014,11,2023-05-01,2024-05-01,574.0867390940052,402.53590446176815,147.18054915460465,120.23513190669232,788.5939610262387,66.62066042671876,16.7765971568703,70.1176106413867,81.6922702064335,8.44803076351508,3.971047275188132,0
SYN015,11,2023-05-01,2024-05-01,102.60686730642519,67.06484108959417,29.17486927779557,40.120438047511605,108.89802703098609,4.274925780913077,3.5578657622130785,65.36096739929863,137.51711332618206,,1.2015421791107628,0
