date,return,latent_audit,price,return_pct,vol20_annual_pct,prob_LowVol_Bull,prob_Range,prob_HighVol_Crash,regime
2021-04-16,0.021516103460753878,1,94.93926419262267,2.1516103460753877,12.82647656581834,2.1456580205349798e-30,0.8478250031599079,0.1521749968400918,Range
2021-04-19,0.014809013772772602,1,96.34522106362812,1.4809013772772601,13.578348693000025,3.4394549049557656e-30,0.9633669816530362,0.03663301834696397,Range
2021-04-20,0.01623594822856981,1,97.90947708488731,1.623594822856981,14.395576251206085,3.504124105596243e-36,0.9316698754965763,0.0683301245034235,Range
2021-04-21,0.02038207396897826,1,99.90507528909546,2.038207396897826,15.491237098886677,9.476174063452704e-47,0.7100777869248202,0.28992221307517996,Range
2021-04-22,0.005854994475570357,1,100.49001895299455,0.5854994475570358,14.855577804633194,6.781323737722886e-35,0.9818572854856241,0.01814271451437592,Range
2021-04-23,-0.01120447937344596,1,99.36408060839852,-1.120447937344596,14.814459655922063,3.3392455067743935e-36,0.9588283577170293,0.04117164228297085,Range
2021-04-26,-0.011818273411413777,1,98.18976873649471,-1.1818273411413778,14.82260963005542,1.6154204635797106e-36,0.9539392291540427,0.046060770845957215,Range
2021-04-27,-0.007962958164163746,1,97.40788771589709,-0.7962958164163746,15.527111856368137,5.407904427283523e-40,0.9612575845327533,0.03874241546724685,Range
2021-04-28,0.002061436825788508,1,97.60868792275691,0.20614368257885082,15.320639024759606,1.5871028570824966e-37,0.9801545062414938,0.01984549375850618,Range
2021-04-29,0.015506346887264343,1,99.12224209689789,1.5506346887264342,15.755830515253946,2.7693543581847756e-45,0.8787254817210656,0.12127451827893453,Range
2021-04-30,-0.002807141227643224,1,98.84399196453126,-0.2807141227643224,15.989072128197504,2.1399727856255603e-42,0.9664031146705248,0.0335968853294752,Range
2021-05-03,0.00115576211034067,1,98.95823210527868,0.11557621103406701,15.746857184355978,1.5624114853057619e-40,0.9740984061479999,0.025901593852000023,Range
2021-05-04,-0.004025897950810475,1,98.55983636143021,-0.40258979508104753,16.046905788796657,5.73596805704206e-43,0.9623004187906758,0.037699581209324054,Range
2021-05-05,-0.01175191417307117,1,97.40156962359873,-1.1751914173071172,16.987539756350397,1.7408266792575974e-52,0.8106549374446839,0.1893450625553162,Range
2021-05-06,0.0011463867286736857,0,97.51322949036721,0.11463867286736858,17.005512259632756,2.7633433943855064e-50,0.931977409713952,0.06802259028604803,Range
2021-05-07,-0.002355562985448259,0,97.28353093638819,-0.23555629854482588,17.11032369773145,3.7585807207781406e-51,0.9204928221558778,0.07950717784412198,Range
2021-05-10,0.005350333742625341,0,97.80403029455887,0.5350333742625341,17.105040780211443,1.0547338788813508e-51,0.914564544258122,0.08543545574187804,Range
2021-05-11,0.0036615105292990982,0,98.16214078129029,0.36615105292990985,16.75454032205197,1.5636414663803854e-48,0.9414233680223123,0.058576631977687685,Range
2021-05-12,0.00028760913350770205,0,98.19037310954367,0.028760913350770204,16.37192301039522,3.2879428394897935e-45,0.9591796455205683,0.04082035447943161,Range
2021-05-13,-0.0018917905807603098,0,98.0046174865737,-0.18917905807603097,16.442360707711707,8.734370431169554e-46,0.9547355770492312,0.04526442295076878,Range
2021-05-14,-0.0035510176237736474,0,97.65660136266769,-0.35510176237736474,14.98195145255382,2.813351593107565e-35,0.981705203712284,0.018294796287716006,Range
2021-05-17,0.0035029251984796082,0,97.99868513237884,0.35029251984796084,14.16024848555277,6.65300459320002e-30,0.988812534284847,0.011187465715152977,Range
